Marmara,8.1111,10.8464

Marwa,7.8431,11.0004

Ung. Pah,8.4098,9.2293

Ung. Kagoma,

Araga,6.5075,10.6411

Dangwa,8.2850,9.2856

Dogon Awo,8.0503,11.4308

Fafinta,

Jagindi Tasha,9.3381,8.2431
 
Janda,

Kogum Dutse,8.2000,9.28367

Kogum Gindin Dutse,8.2242,9.3207

Kogum Tasha,

Koho,8.2850,9.2856

Tsakiya,8.2850,9.2856

Madaki,7.2715,10.7187

Mile one,9.3381,8.2431

Pah Kogum,8.2850,9.2856

Rafin Dadi,9.3207,8.2242

Ug. Patake,9.3207,8.2242

Ung. Magaji,9.4642,8.4209

Ung. Mangoro, 8.4833,8.5333

Ung. Ninzam Tasha,8.2431,9.3382

Ung. Ninzam Kogum,8.2431,9.3382

Fadan Kagoma ‘B’,8..2242,9.3207

Kara,7.4310,10.5223

Kpadam/Gigira,8.1000,9.3666

Manyii,8.1338,10.1589

Sonje,8.2242,9.3207

Takau,8.2596,9.5526

Unguwar Baki,8.2943,9.5560

Zikpak,8.1338,10.1589

Atuku,8.4441,9.4796

Ankwa,7.7634,9.9236

Awon,7.7417,9.7690

Bishini,7.3301,9.6232

Doka,7.4293,10.5430

Kachia,7.9552,9.8734

Kurmin Mazuga,8.0486,9.8788

Sabon Sarki,8.0240,9.4616

Akote,7.7220,9.5035

Chakwama,7.3645,9.4354

Dogon Kurmin,

Iddah,7.3301,9.4023

Janjala,7.6813,9.5472

Jere,7.4354,9.5684

Kagarko,7.6955,9.4910

Kaguni,8.1338,10.1589

Katuga,7.5800,9.4700

Kenyi, 

Kubacha,7.8096,9.4444

Kurmin Dangana,7.9011,9.5978

Kushe,7. 7199,9.3940

Shadalafya, 

Kajuru,7. 6833,10.3243

Kufana,7.7566,10.2947

Biniki

Bondong,8.5611,9.7163

Fada,8.0274,9.4560

Dada Ciki Gari, 

Fadan Attakar, 8.4646,9.5973

Fadan Takad

Garaji

Gizagwai,8.1338,10.1589

Kadarko,8.4349,9.6366

Kajim

Kara,7.4310,10.5223

Kpak,8.4129,9.6813

Kukum Daji,8.3581,9.6053

Kukum Gida,8.3581,9.6053

Malagum (Zali),8.3855,9.6765

Manchok,8.5089,9.6721

Matuak,

Mifi,8. 4600,9.6200

Tafan,8. 3890,9.5020

Tsonjei,8.1338,10.1589

Zankan,8.5406,9.5911

Chawai,8.5912,10.0199

Geshere,8.3746,10.1307

Kauru,8.1488,10.5748

Anchau,8. 3938

Kubau,8. 1571,10.8009
Doka,7.4293,0.5430

Hunkuyi,7.6480,11.2659

Kauran Waki,8.5030,9.6306

Kudan,7.7634,11.2643

Likoro,7.8178,11.1841

Garu,7.9811,10.8545

Kadaru,8.5600,10. 3400

Lere,8.5735,10.3853

Makarfi,7.8803,11.3766

Basawa,7. 6819,11.1708

Babban Titi,7.6800,11.1800

Sabon Gari (Rural),7.6800,11.1800

Daurawa,8.0024,11.7260

Samaru,7.6385,11.1607

Kogun

Sarki Hausawa,8.4098,9.2293

Sarki Zangin, 

Dakachi Fulani

Tudun Wada,8.4047,11.2497

Gidan Maikeri,7.3833,10.1833

Gongoro Gida,

Ung. Sarki Jangwai,8.6200,9.4000

Amar,8.5333,9.1166

Dakaci Makeri Landa,8.4500,9.2400

Sarki Landa Gbasar,8.4500,9.2400

Kontogora,8.5182,9.1063

Ungwa Maikwara,8.4098,9.2290

Ambel,

Ung. Adamu Makama,8. 4100,9.2293

Ungwa Sule Aboro, 

Ancha Sarki,8.4308,9.1732

Dakachi Dodo,8.4500,9.2400

Madaki Godo,8.4500,9.2400

Ayu,8.6147,9.2950

Ung. Maichibi

Ung. Yakubu

Bokana

Sarki Yoruba

Ungwa Adu Duwaru

Fadan Karshi

Tsoho Gar

Ung. Gwandara

Fadan Ninzo

Iyah Gbara

Dakachi-Amubimaji

Jarami

Gunkok

Andun

Ung. Makama

Gwantu

Sanga Haruna

Ung. Ningon

Hatteh

Amugbonche

Sarki Amugbonche

Wambai

Kwassu
